.\search-framework\target\release\sweep.exe : [sweep] n=200000 live=158 elapsed=11.0s
At line:3 char:1
+ .\search-framework\target\release\sweep.exe --lo 1 --hi 10000000 --ma ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([sweep] n=200000 live=158 elapsed=11.0s:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
[sweep] n=75600000 live=5 elapsed=56.7s
[sweep] n=75800000 live=5 elapsed=56.7s
[sweep] n=76000000 live=5 elapsed=56.8s
[sweep] n=76200000 live=5 elapsed=56.9s
[sweep] n=76400000 live=5 elapsed=56.9s
[sweep] n=76600000 live=5 elapsed=57.0s
[sweep] n=76800000 live=5 elapsed=57.0s
[sweep] n=77000000 live=5 elapsed=57.1s
[sweep] n=77200000 live=5 elapsed=57.1s
[sweep] n=77400000 live=5 elapsed=57.2s
[sweep] n=77600000 live=5 elapsed=57.3s
[sweep] n=77800000 live=5 elapsed=57.3s
[sweep] n=78000000 live=5 elapsed=57.4s
[sweep] n=78200000 live=5 elapsed=57.4s
[sweep] n=78400000 live=5 elapsed=57.5s
[sweep] n=78600000 live=5 elapsed=57.5s
[sweep] n=78800000 live=5 elapsed=57.6s
[sweep] n=79000000 live=5 elapsed=57.7s
[sweep] n=79200000 live=5 elapsed=57.7s
[sweep] n=79400000 live=5 elapsed=57.8s
[sweep] n=79600000 live=5 elapsed=57.8s
[sweep] n=79800000 live=5 elapsed=57.9s
[sweep] n=80000000 live=5 elapsed=57.9s
[sweep] n=80200000 live=5 elapsed=58.0s
[sweep] n=80400000 live=5 elapsed=58.1s
[sweep] n=80600000 live=5 elapsed=58.1s
[sweep] n=80800000 live=5 elapsed=58.2s
[sweep] n=81000000 live=5 elapsed=58.2s
[sweep] n=81200000 live=5 elapsed=58.3s
[sweep] n=81400000 live=5 elapsed=58.3s
[sweep] n=81600000 live=5 elapsed=58.4s
[sweep] n=81800000 live=5 elapsed=58.4s
[sweep] n=82000000 live=5 elapsed=58.5s
[sweep] n=82200000 live=5 elapsed=58.6s
[sweep] n=82400000 live=5 elapsed=58.6s
[sweep] n=82600000 live=5 elapsed=58.7s
[sweep] n=82800000 live=5 elapsed=58.7s
[sweep] n=83000000 live=5 elapsed=58.8s
[sweep] n=83200000 live=5 elapsed=58.8s
[sweep] n=83400000 live=5 elapsed=58.9s
[sweep] n=83600000 live=5 elapsed=59.0s
[sweep] n=83800000 live=5 elapsed=59.0s
[sweep] n=84000000 live=5 elapsed=59.1s
[sweep] n=84200000 live=5 elapsed=59.1s
[sweep] n=84400000 live=5 elapsed=59.2s
[sweep] n=84600000 live=5 elapsed=59.2s
[sweep] n=84800000 live=5 elapsed=59.3s
[sweep] n=85000000 live=5 elapsed=59.3s
[sweep] n=85200000 live=5 elapsed=59.4s
[sweep] n=85400000 live=5 elapsed=59.5s
[sweep] n=85600000 live=5 elapsed=59.5s
[sweep] n=85800000 live=5 elapsed=59.6s
[sweep] n=86000000 live=5 elapsed=59.6s
[sweep] n=86200000 live=5 elapsed=59.7s
[sweep] n=86400000 live=5 elapsed=59.7s
[sweep] n=86600000 live=5 elapsed=59.8s
[sweep] n=86800000 live=5 elapsed=59.9s
[sweep] n=87000000 live=5 elapsed=59.9s
[sweep] n=87200000 live=5 elapsed=60.0s
[sweep] n=87400000 live=5 elapsed=60.0s
[sweep] n=87600000 live=5 elapsed=60.1s
[sweep] n=87800000 live=5 elapsed=60.1s
[sweep] n=88000000 live=5 elapsed=60.2s
[sweep] n=88200000 live=5 elapsed=60.3s
[sweep] n=88400000 live=5 elapsed=60.3s
[sweep] n=88600000 live=5 elapsed=60.4s
[sweep] n=88800000 live=5 elapsed=60.4s
[sweep] n=89000000 live=5 elapsed=60.5s
[sweep] n=89200000 live=5 elapsed=60.5s
[sweep] n=89400000 live=5 elapsed=60.6s
[sweep] n=89600000 live=5 elapsed=60.7s
[sweep] n=89800000 live=5 elapsed=60.7s
[sweep] n=90000000 live=4 elapsed=60.8s
[sweep] n=90200000 live=4 elapsed=60.8s
[sweep] n=90400000 live=4 elapsed=60.9s
[sweep] n=90600000 live=3 elapsed=60.9s
[sweep] n=90800000 live=3 elapsed=61.0s
[sweep] n=91000000 live=3 elapsed=61.0s
[sweep] n=91200000 live=3 elapsed=61.0s
[sweep] n=91400000 live=3 elapsed=61.1s
[sweep] n=91600000 live=3 elapsed=61.1s
[sweep] n=91800000 live=3 elapsed=61.2s
[sweep] n=92000000 live=3 elapsed=61.2s
[sweep] n=92200000 live=3 elapsed=61.2s
[sweep] n=92400000 live=3 elapsed=61.3s
[sweep] n=92600000 live=3 elapsed=61.3s
[sweep] n=92800000 live=3 elapsed=61.3s
[sweep] n=93000000 live=3 elapsed=61.4s
[sweep] n=93200000 live=3 elapsed=61.4s
[sweep] n=93400000 live=3 elapsed=61.4s
[sweep] n=93600000 live=3 elapsed=61.5s
[sweep] n=93800000 live=3 elapsed=61.5s
[sweep] n=94000000 live=3 elapsed=61.5s
[sweep] n=94200000 live=3 elapsed=61.6s
[sweep] n=94400000 live=3 elapsed=61.6s
[sweep] n=94600000 live=3 elapsed=61.7s
[sweep] n=94800000 live=3 elapsed=61.7s
[sweep] n=95000000 live=3 elapsed=61.7s
[sweep] n=95200000 live=3 elapsed=61.8s
[sweep] n=95400000 live=3 elapsed=61.8s
[sweep] n=95600000 live=3 elapsed=61.8s
[sweep] n=95800000 live=3 elapsed=61.9s
[sweep] n=96000000 live=3 elapsed=61.9s
[sweep] n=96200000 live=3 elapsed=61.9s
[sweep] n=96400000 live=3 elapsed=62.0s
[sweep] n=96600000 live=3 elapsed=62.0s
[sweep] n=96800000 live=3 elapsed=62.0s
[sweep] n=97000000 live=3 elapsed=62.1s
[sweep] n=97200000 live=3 elapsed=62.1s
[sweep] n=97400000 live=3 elapsed=62.1s
[sweep] n=97600000 live=3 elapsed=62.2s
[sweep] n=97800000 live=3 elapsed=62.2s
[sweep] n=98000000 live=3 elapsed=62.2s
[sweep] n=98200000 live=3 elapsed=62.3s
[sweep] n=98400000 live=3 elapsed=62.3s
[sweep] n=98600000 live=3 elapsed=62.3s
[sweep] n=98800000 live=3 elapsed=62.4s
[sweep] n=99000000 live=3 elapsed=62.4s
[sweep] n=99200000 live=3 elapsed=62.4s
[sweep] n=99400000 live=3 elapsed=62.5s
[sweep] n=99600000 live=3 elapsed=62.5s
[sweep] n=99800000 live=3 elapsed=62.5s
[sweep] n=100000000 live=3 elapsed=62.6s
[sweep] n=100200000 live=3 elapsed=62.6s
[sweep] n=100400000 live=3 elapsed=62.7s
[sweep] n=100600000 live=3 elapsed=62.7s
[sweep] n=100800000 live=3 elapsed=62.7s
[sweep] n=101000000 live=3 elapsed=62.8s
[sweep] n=101200000 live=3 elapsed=62.8s
[sweep] n=101400000 live=3 elapsed=62.8s
[sweep] n=101600000 live=3 elapsed=62.9s
[sweep] n=101800000 live=3 elapsed=62.9s
[sweep] n=102000000 live=3 elapsed=62.9s
[sweep] n=102200000 live=3 elapsed=63.0s
[sweep] n=102400000 live=3 elapsed=63.0s
[sweep] n=102600000 live=3 elapsed=63.0s
[sweep] n=102800000 live=3 elapsed=63.1s
[sweep] n=103000000 live=3 elapsed=63.1s
[sweep] n=103200000 live=3 elapsed=63.1s
[sweep] n=103400000 live=3 elapsed=63.2s
[sweep] n=103600000 live=3 elapsed=63.2s
[sweep] n=103800000 live=3 elapsed=63.2s
[sweep] n=104000000 live=3 elapsed=63.3s
[sweep] n=104200000 live=3 elapsed=63.3s
[sweep] n=104400000 live=3 elapsed=63.3s
