n,live_before,absorbed,merged,live_after
6431,4427,6,0,4421
6433,4413,3,0,4410
6439,4410,15,0,4395
6463,4391,5,0,4386
6487,4368,4,0,4364
6505,4350,9,0,4341
6521,4336,1,0,4335
6559,4327,8,0,4319
6591,4284,23,0,4261
6593,4256,10,0,4246
6649,4229,21,0,4208
6679,4192,10,0,4182
6735,4166,10,0,4156
6799,4128,4,0,4124
6807,4119,14,0,4105
6817,4101,12,0,4089
6825,4087,5,0,4082
6831,4079,4,0,4075
6849,4070,1,0,4069
6857,4068,41,0,4027
6913,4002,1,0,4001
6921,3991,6,0,3985
6967,3974,1,0,3973
6969,3973,6,0,3967
6977,3961,1,0,3960
7033,3952,15,0,3937
7039,3937,12,0,3925
7041,3922,53,0,3869
7047,3869,1,0,3868
7073,3864,1,0,3863
7103,3849,9,0,3840
7111,3838,1,0,3837
7161,3808,1,0,3807
7183,3804,7,0,3797
7193,3796,2,0,3794
7233,3782,13,0,3769
7241,3763,3,0,3760
7287,3748,3,0,3745
7289,3743,27,0,3716
7329,3700,14,0,3686
7337,3686,24,0,3662
7351,3662,13,0,3649
7361,3648,20,0,3628
7383,3622,1,0,3621
7449,3592,1,0,3591
7455,3591,6,0,3585
7503,3576,1,0,3575
7535,3563,21,0,3542
7553,3538,11,0,3527
7649,3495,2,0,3493
7671,3491,19,0,3472
7673,3464,15,0,3449
7695,3440,3,0,3437
7743,3412,4,0,3408
7753,3406,2,0,3404
7759,3402,5,0,3397
7777,3393,4,0,3389
7785,3384,9,0,3375
7831,3361,2,0,3359
7839,3355,5,0,3350
7897,3335,6,0,3329
7929,3317,3,0,3314
7993,3284,7,0,3277
8033,3259,7,0,3252
8095,3244,3,0,3241
8127,3232,6,0,3226
8169,3208,21,0,3187
8185,3186,5,0,3181
8191,3180,13,0,3167
8193,3167,6,0,3161
8297,3134,8,0,3126
8303,3125,4,0,3121
8351,3118,2,0,3116
8377,3107,2,0,3105
8481,3089,12,0,3077
8503,3070,5,0,3065
8577,3028,17,0,3011
8767,2973,10,0,2963
8897,2948,14,0,2934
8991,2913,9,0,2904
9001,2904,1,0,2903
9025,2901,35,0,2866
9047,2862,6,0,2856
9057,2854,8,0,2846
9097,2830,5,0,2825
9113,2823,1,0,2822
9295,2795,6,0,2789
9433,2763,13,0,2750
9441,2746,11,0,2735
9503,2729,1,0,2728
9689,2699,12,0,2687
9761,2681,3,0,2678
9775,2677,6,0,2671
9793,2668,3,0,2665
9817,2660,39,0,2621
9849,2611,2,0,2609
9887,2602,1,0,2601
9889,2601,12,0,2589
9897,2587,9,0,2578
9903,2578,2,0,2576
9943,2566,1,0,2565
10063,2550,30,0,2520
10071,2520,10,0,2510
10175,2491,31,0,2460
10209,2454,14,0,2440
10239,2438,5,0,2433
10241,2430,1,0,2429
10329,2406,11,0,2395
10377,2393,15,0,2378
10433,2376,6,0,2370
10537,2356,1,0,2355
10553,2354,5,0,2349
10613,2336,1,0,2335
10631,2326,4,0,2322
10785,2307,2,0,2305
10841,2302,16,0,2286
10903,2277,6,0,2271
10967,2265,19,0,2246
11073,2242,1,0,2241
11137,2223,2,0,2221
11321,2203,5,0,2198
11417,2186,27,0,2159
11489,2145,5,0,2140
11727,2115,1,0,2114
11769,2110,4,0,2106
11833,2096,4,0,2092
11841,2091,7,0,2084
12015,2066,2,0,2064
12057,2061,14,0,2047
12183,2041,3,0,2038
12257,2027,1,0,2026
12287,2025,13,0,2012
12455,1999,2,0,1997
12599,1972,4,0,1968
12671,1959,3,0,1956
12679,1951,16,0,1935
12697,1934,6,0,1928
12735,1924,18,0,1906
12801,1893,4,0,1889
12833,1889,2,0,1887
12863,1887,8,0,1879
12967,1861,2,0,1859
12985,1858,3,0,1855
13015,1853,1,0,1852
13217,1843,9,0,1834
13247,1834,1,0,1833
13375,1814,8,0,1806
13473,1797,5,0,1792
13569,1787,6,0,1781
13793,1761,2,0,1759
13839,1756,13,0,1743
13881,1741,7,0,1734
13921,1734,5,0,1729
13945,1729,17,0,1712
13983,1709,3,0,1706
14209,1689,2,0,1687
14233,1687,7,0,1680
14361,1667,4,0,1663
14447,1657,19,0,1638
14625,1627,19,0,1608
14671,1608,4,0,1604
14719,1604,2,0,1602
14743,1597,18,0,1579
15063,1558,14,0,1544
15135,1537,25,0,1512
15169,1509,8,0,1501
15341,1493,2,0,1491
15425,1491,5,0,1486
15519,1482,4,0,1478
15599,1473,6,0,1467
15705,1458,1,0,1457
15897,1450,4,0,1446
15937,1444,2,0,1442
16031,1441,6,0,1435
16055,1431,3,0,1428
16319,1412,7,0,1405
16385,1404,1,0,1403
16407,1401,10,0,1391
16641,1379,1,0,1378
16761,1375,4,0,1371
16769,1371,2,0,1369
16775,1367,16,0,1351
16871,1345,13,0,1332
17217,1318,3,0,1315
17249,1315,9,0,1306
17529,1289,2,0,1287
17567,1276,10,0,1266
17593,1265,1,0,1264
17721,1260,29,0,1231
18233,1219,3,0,1216
18305,1214,6,0,1208
18361,1205,2,0,1203
18743,1198,2,0,1196
18823,1196,1,0,1195
19207,1182,8,0,1174
